0000,0003,0001,0001,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999;
0003,0000,0001,9999,0001,9999,9999,9999,9999,0004,9999,9999,9999,9999,9999,9999,9999,9999;
0001,0001,0000,0001,0002,0001,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999;
0001,9999,0001,0000,9999,0002,0002,0001,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999;
9999,0001,0002,9999,0000,0001,9999,9999,9999,0001,9999,9999,9999,9999,9999,9999,9999,9999;
9999,9999,0001,0002,0001,0000,0001,9999,9999,0003,0001,9999,9999,9999,9999,9999,9999,9999;
9999,9999,9999,0002,9999,0001,0000,0001,0002,9999,9999,9999,0002,0004,0003,9999,9999,9999;
9999,9999,9999,0001,9999,9999,0001,0000,0001,9999,9999,9999,9999,9999,9999,9999,9999,9999;
9999,9999,9999,9999,9999,9999,0002,0001,0000,9999,9999,9999,9999,9999,0001,0003,9999,9999;
9999,0004,9999,9999,0001,0003,9999,9999,9999,0000,0001,0001,9999,9999,9999,9999,9999,9999;
9999,9999,9999,9999,9999,0001,9999,9999,9999,0001,0000,0001,0002,9999,9999,9999,9999,9999;
9999,9999,9999,9999,9999,9999,9999,9999,9999,0001,0001,0000,0001,9999,9999,9999,0001,9999;
9999,9999,9999,9999,9999,0003,0002,9999,9999,9999,0002,0001,0000,0002,9999,9999,0001,9999;
9999,9999,9999,9999,9999,9999,0004,9999,9999,9999,9999,9999,0002,0000,0001,0002,0002,0001;
9999,9999,9999,9999,9999,9999,0003,9999,0001,9999,9999,9999,9999,0001,0000,0001,9999,9999;
9999,9999,9999,9999,9999,9999,9999,9999,0003,9999,9999,9999,9999,0002,0001,0000,9999,0004;
9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0001,0001,0002,9999,9999,0000,0001;
9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0001,9999,0004,0001,0000;
